1, 00001,LOBSTER,16451737,LOBSTER,16352638,223.8600 100 2025-06-20T23:52:32.697874700
1, 00001,LOBSTER,16451737,LOBSTER,16352638,223.8600 100 2025-06-20T23:55:19.588410800
2, 00001,LOBSTER,16732821,LOBSTER,16352638,223.8600 100 2025-06-20T23:55:19.598411300
1, 00001,LOBSTER,17094470,LOBSTER,14585251,223.9500 100 2025-06-20T23:55:19.634414500
2, 00001,LOBSTER,17094575,LOBSTER,16252480,223.9500 100 2025-06-20T23:55:19.634414500
3, 00001,LOBSTER,17094576,LOBSTER,16252480,223.9500 100 2025-06-20T23:55:19.636415
4, 00001,LOBSTER,17094576,LOBSTER,16275687,223.9500 75 2025-06-20T23:55:19.636415
5, 00001,LOBSTER,17094576,LOBSTER,16275687,223.9500 15 2025-06-20T23:55:19.636415
6, 00001,LOBSTER,17094576,LOBSTER,16275687,223.9500 10 2025-06-20T23:55:19.636415
7, 00001,LOBSTER,17097634,LOBSTER,16275687,223.9500 50 2025-06-20T23:55:19.638414300
8, 00001,LOBSTER,17097634,LOBSTER,3911376,223.9600 20 2025-06-20T23:55:19.638414300
9, 00001,LOBSTER,17097634,LOBSTER,16202496,223.9600 30 2025-06-20T23:55:19.638414300
10, 00001,LOBSTER,17099230,LOBSTER,16202496,223.9600 87 2025-06-20T23:55:19.638414300
11, 00001,LOBSTER,17118179,LOBSTER,16202496,223.9600 100 2025-06-20T23:55:19.641415
12, 00001,LOBSTER,17119109,LOBSTER,16202496,223.9600 69 2025-06-20T23:55:19.643415300
13, 00001,LOBSTER,17119109,LOBSTER,2135294,223.9900 18 2025-06-20T23:55:19.643415300
14, 00001,LOBSTER,17121862,LOBSTER,2135294,223.9900 82 2025-06-20T23:55:19.643415300
15, 00001,LOBSTER,17121862,LOBSTER,16207239,223.9900 18 2025-06-20T23:55:19.643415300
1, 00001,LOBSTER,17169116,LOBSTER,16207239,223.9900 82 2025-06-20T23:55:19.645415900
16, 00001,LOBSTER,17169116,LOBSTER,16207239,223.9900 18 2025-06-20T23:55:19.645415900
17, 00001,LOBSTER,17170140,LOBSTER,16207239,223.9900 72 2025-06-20T23:55:19.645415900
18, 00001,LOBSTER,17170140,LOBSTER,16208720,223.9900 28 2025-06-20T23:55:19.645415900
19, 00001,LOBSTER,17358208,LOBSTER,16208720,223.9900 22 2025-06-20T23:55:19.655924900
2, 00001,LOBSTER,17358208,LOBSTER,16207239,223.9900 10 2025-06-20T23:55:19.655924900
20, 00001,LOBSTER,17358208,LOBSTER,16208720,223.9900 45 2025-06-20T23:55:19.655924900
3, 00001,LOBSTER,17524292,LOBSTER,16208720,223.9900 5 2025-06-20T23:55:19.669925100
21, 00001,LOBSTER,17524292,LOBSTER,1365373,224.0000 13 2025-06-20T23:55:19.669925100
22, 00001,LOBSTER,17524292,LOBSTER,1847685,224.0000 27 2025-06-20T23:55:19.669925100
23, 00001,LOBSTER,17524292,LOBSTER,1847685,224.0000 55 2025-06-20T23:55:19.669925100
24, 00001,LOBSTER,17654460,LOBSTER,1847685,224.0000 18 2025-06-20T23:55:19.673928100
25, 00001,LOBSTER,17654460,LOBSTER,2051705,224.0000 20 2025-06-20T23:55:19.673928100
26, 00001,LOBSTER,17654460,LOBSTER,3578212,224.0000 4 2025-06-20T23:55:19.673928100
27, 00001,LOBSTER,17654460,LOBSTER,3581197,224.0000 3 2025-06-20T23:55:19.673928100
28, 00001,LOBSTER,17654460,LOBSTER,3581197,224.0000 7 2025-06-20T23:55:19.673928100
29, 00001,LOBSTER,17654460,LOBSTER,3591155,224.0000 48 2025-06-20T23:55:19.674931500
30, 00001,LOBSTER,17669020,LOBSTER,3591155,224.0000 2 2025-06-20T23:55:19.674931500
31, 00001,LOBSTER,17669020,LOBSTER,3689544,224.0000 43 2025-06-20T23:55:19.674931500
32, 00001,LOBSTER,17669020,LOBSTER,3689544,224.0000 55 2025-06-20T23:55:19.674931500
33, 00001,LOBSTER,17678897,LOBSTER,3689544,224.0000 2 2025-06-20T23:55:19.676924900
34, 00001,LOBSTER,17678897,LOBSTER,3920363,224.0000 6 2025-06-20T23:55:19.676924900
35, 00001,LOBSTER,17678897,LOBSTER,3920364,224.0000 23 2025-06-20T23:55:19.676924900
36, 00001,LOBSTER,17678897,LOBSTER,3920367,224.0000 6 2025-06-20T23:55:19.676924900
37, 00001,LOBSTER,17678897,LOBSTER,3920371,224.0000 40 2025-06-20T23:55:19.676924900
38, 00001,LOBSTER,17678938,LOBSTER,3920371,224.0000 14 2025-06-20T23:55:19.676924900
4, 00001,LOBSTER,17678938,LOBSTER,3920373,224.0000 54 2025-06-20T23:55:19.676924900
39, 00001,LOBSTER,17678938,LOBSTER,3920374,224.0000 15 2025-06-20T23:55:19.676924900
40, 00001,LOBSTER,17678938,LOBSTER,4631442,224.0000 17 2025-06-20T23:55:19.676924900
41, 00001,LOBSTER,17679258,LOBSTER,4631442,224.0000 59 2025-06-20T23:55:19.679924800
42, 00001,LOBSTER,17679258,LOBSTER,4631569,224.0000 20 2025-06-20T23:55:19.679924800
43, 00001,LOBSTER,17679258,LOBSTER,4632895,224.0000 15 2025-06-20T23:55:19.679924800
44, 00001,LOBSTER,17679258,LOBSTER,4632989,224.0000 6 2025-06-20T23:55:19.679924800
